"Taxon","Region","Guild","Habitat","Kipp’s Index","Number of populations","Divergence Times","Average number of segregating sites","Average nucleotide diversity","Normalize Genetic distance","Tajima’s D","Effective population size","Proportional size of the ancestral population","Time since population size change (years)","Niche hypervolume","Geographic distance (Km)","Normalize environmental resistance ~ geographic distance","Normalize seasonality resistance ","Normalize historical environmental resistance "
"Piculus aurulentus","Tropical","Insectivorous","canopy",17.3137865075513,2,415165,0.472,0.136,0.693,-0.369,216750,1.622,250359,195.49,83.777,0.007436937327461,0.111932068134643,0.063190610699584
"Cacicus chrysopterus","Tropical","Omnivorous","canopy",11.7623034510925,2,529122,0.439,0.139,0.567,-0.316,724358,-4.48,77388,230.24,101.086,0.039081154307195,0.107607615726044,0.146815671002502
"Synallaxis cinerascens","Tropical","Insectivorous","understory",9.923616328575,2,229789,0.865,0.295,0.735,-0.226,115178,-5.089,149657,278.56,89.681,0.026500003295108,-0.044940673488492,0.036063612089763
"Heliobletus contaminatus","Tropical","Insectivorous","midstory",17.840351852788,1,255426,0.602,0.214,0.895,-0.391,27586,3.31,33024,177.44,110.085,0.033915894596428,0.072508663398237,0.12057938912921
"Tangara desmaresti","Tropical","Omnivorous","canopy",20.4570484581498,1,496150,1.664,0.416,0.81,-0.585,405554,-4.803,25307,287.17,54.818,-0.027505772757121,0.147982533521959,0.107820083204742
"Stephanophorus diadematus","Tropical","Omnivorous","canopy",14.8003057519587,1,86117,1.161,0.431,0.387,-0.3,879446,-5.987,34462,242.26,53.01,-0.006072712064745,-0.018309863107934,0.022047241309618
"Phylloscartes difficilis","Tropical","Insectivorous","bamboo",14.1125902931168,1,300702,0.889,0.253,0.676,-0.451,256990,0.857,187158,120.71,61.202,-0.041791309234755,0.015358087107356,0.009340422577293
"Stephanoxis lalandi","Tropical","Nectarivorous","understory",58.7025980313055,2,369263,1.141,0.307,0.082,-0.313,329366,-4.455,64959,164.17,54.788,0.014239162274216,0.05937097540943,0.005337002422988
"Poospiza lateralis","Tropical","Omnivorous","edge",8.47755543537047,2,122822,1.168,0.349,0.264,-0.456,465775,-1.878,47445,71.22,94.771,0.027192289021783,0.022062240432101,0.027515491912082
"Mackenziaena leachii","Tropical","Insectivorous","understory",3.8255826441843,1,411885,0.343,0.323,0.469,0.085,69798,-1.32,87357,356.76,239.377,-0.026915803988061,0.348130378589455,0.09317731632302
"Saltator maxillosus","Tropical","Herbivorous","edge",17.0077352394008,1,161263,1.27,0.376,0.388,-0.397,110484,0.829,1480,73.15,59.229,-0.00259250208214,0.029007439336759,-0.006807666978722
"Elaenia mesoleuca","Tropical","Omnivorous","canopy",16.7058231246854,1,464236,"NA","NA",0.565,"NA",106830,2.466,83255,312.05,123.766,"NA","NA","NA"
"Hemitriccus obsoletus","Tropical","Insectivorous","bamboo",6.26444615658152,2,379131,0.939,0.264,0.702,-0.269,907929,-5.039,89813,135.6,60.015,0.006707538816026,0.074050992660728,0.031356073681548
"Piprites pileata","Tropical","Frugivorous","canopy",23.5723486474882,1,164160,0.323,0.162,0.492,-0.012,59093,-3.357,94202,39.25,26.974,"NA","NA","NA"
"Drymophila rubricollis","Tropical","Insectivorous","bamboo",6.56755739555891,1,159143,1.008,0.311,0.653,-0.473,30101,2.48,2413,246.71,47.404,0.02587038639806,0.153191516213048,0.052469079151203
"Chamaeza ruficauda","Tropical","Insectivorous","understory",8.48599990953091,1,203938,0.839,0.278,0.507,-0.284,52554,-4.057,121480,98.28,102.966,0.008970893138065,0.078208253916358,0.057024098544265
"Syndactyla rufosuperciliata","Tropical","Insectivorous","understory",11.2674172333073,1,217547,1.3,0.321,0.797,-0.558,497817,-0.812,48913,193.05,81.317,-0.000383749099478,0.03594749847488,0.083688406555618
"Poospiza thoracica","Tropical","Omnivorous","edge",13.1051123510783,2,364516,0.583,0.207,0.15,-0.144,110712,-4.444,105921,90.99,60.408,0.012364753720965,0.054710580477083,0.017355003995007
"Phylloscartes ventralis","Tropical","Insectivorous","midstory",13.9244308283775,1,167702,0.84,0.289,0.67,-0.428,379824,-2.984,80852,144.44,106.923,0.068139761916381,0.381238490782595,0.073114418548676
"Muscipipra vetula","Tropical","Insectivorous","canopy",25.7125063020849,1,549576,0.629,0.237,0.463,-0.228,746611,-4.145,45834,335.01,113.913,0.007850146244912,0.0548578307177,-0.002897285507367
"Dysithamnus xanthopterus","Tropical","Insectivorous","understory",9.95264532984978,1,272191,0.666,0.22,0.779,-0.178,36880,-2.505,9936,183.43,46.601,0.028193760267965,-0.004245508401244,0.041352179339465
"Piculus aurulentus","Subtropical","Insectivorous","canopy",17.3137865075513,2,415165,0.375,0.124,0.212,-0.232,292345,0.416,199024,530,272.881,-0.176696535623167,-0.373319849891158,-0.310335673532082
"Cacicus chrysopterus","Subtropical","Omnivorous","canopy",11.7623034510925,2,529122,0.291,0.119,0.136,-0.164,46866,1.766,401828,450.07,231.503,-0.118558329274293,-0.215436026414898,-0.309250820614934
"Synallaxis cinerascens","Subtropical","Insectivorous","understory",9.923616328575,2,229789,0.528,0.203,0.083,-0.06,41872,0.609,13252,328.42,220.645,-0.206579736431857,0.100944808380674,-0.18322709063379
"Heliobletus contaminatus","Subtropical","Insectivorous","midstory",17.840351852788,1,255426,0.604,0.169,0.284,-0.406,337930,-5.386,2985,523.67,344.81,-0.058357268102485,-0.089401032801043,-0.119633218341426
"Tangara desmaresti","Subtropical","Omnivorous","canopy",20.4570484581498,1,496150,1.245,0.402,0.325,-0.412,150273,3.003,476071,168.66,175.172,0.080012379933127,-0.451031960237087,-0.338481963293537
"Stephanophorus diadematus","Subtropical","Omnivorous","canopy",14.8003057519587,1,86117,1.159,0.426,0.556,-0.316,220948,-1.168,29761,791.02,455.411,0.013210050678615,0.113064575133242,-0.084437108295668
"Phylloscartes difficilis","Subtropical","Insectivorous","bamboo",14.1125902931168,1,300702,0.667,0.221,0.266,-0.217,63680,-1.639,115967,161.38,190.828,0.118681645854273,-0.139294690880392,-0.156647895758574
"Stephanoxis lalandi","Subtropical","Nectarivorous","understory",58.7025980313055,2,369263,1.015,0.321,0.127,-0.196,130151,2.996,309586,262.21,281.253,-6.42647285213627E-17,-1.31893194282862E-17,3.75083129703149E-18
"Poospiza lateralis","Subtropical","Omnivorous","edge",8.47755543537047,2,122822,1.354,0.37,0.622,-0.569,270324,-0.561,41987,630.61,480.229,-0.327275905254801,-0.271735800036669,-0.409150057677929
"Mackenziaena leachii","Subtropical","Insectivorous","understory",3.8255826441843,1,411885,0.148,0.088,0.207,0.416,93166,-0.534,41155,427.97,304.136,-0.2619347827699,-0.264294664225176,-0.246788531782073
"Saltator maxillosus","Subtropical","Herbivorous","edge",17.0077352394008,1,161263,1.055,0.372,0.331,-0.324,262374,-1.556,35351,349.58,238.164,-0.232098961796415,-0.148815141943661,-0.275976807148229
"Elaenia mesoleuca","Subtropical","Omnivorous","canopy",16.7058231246854,1,464236,"NA","NA",0.596,"NA",516477,-6.203,6214,840.91,190.975,"NA","NA","NA"
"Hemitriccus obsoletus","Subtropical","Insectivorous","bamboo",6.26444615658152,2,379131,0.699,0.234,0.499,-0.198,39853,1.806,295365,286.1,248.01,-0.053769328871076,-0.199713106122791,-0.124406144237485
"Piprites pileata","Subtropical","Frugivorous","canopy",23.5723486474882,1,164160,0.267,0.155,"NA",0.011,68321,1.044,4256,141.97,"NA","NA","NA","NA"
"Drymophila rubricollis","Subtropical","Insectivorous","bamboo",6.56755739555891,1,159143,0.955,0.294,0.411,-0.352,777694,-5.63,29719,185.04,138.438,-0.063810425274779,-0.217566010707369,-0.093478029582265
"Chamaeza ruficauda","Subtropical","Insectivorous","understory",8.48599990953091,1,203938,0.481,0.215,0.161,-0.061,54972,1.413,93933,397.76,160.213,-0.083174734657036,-0.144585123836898,-0.123531526704405
"Syndactyla rufosuperciliata","Subtropical","Insectivorous","understory",11.2674172333073,1,217547,1.139,0.287,0.338,-0.481,684829,-2.299,86696,724.51,398.159,-0.008906481873757,-0.142642176395361,-0.239027472870681
"Poospiza thoracica","Subtropical","Omnivorous","edge",13.1051123510783,2,364516,1.06,0.329,0.422,-0.356,44963,1.69,260722,254.7,208.759,-0.110560665970764,-0.15548996855754,-0.136769363307139
"Phylloscartes ventralis","Subtropical","Insectivorous","midstory",13.9244308283775,1,167702,1.249,0.269,0.253,-0.586,39430,-1.203,11959,747.22,405.902,-0.040394354861713,-0.221764025193042,-0.0872261715209
"Muscipipra vetula","Subtropical","Insectivorous","canopy",25.7125063020849,1,549576,0.507,0.229,0.338,-0.14,30693,2.255,480126,500.08,212.641,0.024881929981383,-0.184908713722844,0.013597832422193
"Dysithamnus xanthopterus","Subtropical","Insectivorous","understory",9.95264532984978,1,272191,0.531,0.201,0.671,-0.045,16585,2.596,237116,43.65,145.862,0.150972220230906,0.289995803676455,0.191238243944489
